sasid	chr	start	end	gene_name	transcript_biotype	exon_overlap_type	exon_overlaping_length	cpg_count	cpg_names
ENSG00000257150_ENSG00000074527	12	96051580	96184930	PGAM1P5_NTN4	transcribed_processed_pseudogene&protein_coding	INTRONIC	1696	1	CpG: 125
ENSG00000237178_ENSG00000116044	2	178092320	178257425	AC019080.1_NFE2L2	processed_pseudogene&protein_coding	INTRONIC	394	2	CpG: 176;CpG: 79
ENSG00000139865_ENSG00000259091	14	38065049	38510647	TTC6_LINC00517	protein_coding&processed_transcript	INTRONIC	6314	4	CpG: 48;CpG: 143;CpG: 77;CpG: 123
ENSG00000121905_ENSG00000121900	1	33359363	33360480	HPCA_TMEM54	protein_coding&protein_coding	3UTR_3UTR	53	1	CpG: 89
ENSG00000100330_ENSG00000099999	22	30279141	31521442	MTMR3_RNF215	protein_coding&protein_coding	INTRONIC	43927	28	CpG: 38;CpG: 41;CpG: 95;CpG: 50;CpG: 64;CpG: 19;CpG: 82;CpG: 61;CpG: 71;CpG: 81;CpG: 43;CpG: 52;CpG: 65;CpG: 45;CpG: 38;CpG: 60;CpG: 113;CpG: 54;CpG: 61;CpG: 110;CpG: 82;CpG: 61;CpG: 84;CpG: 41;CpG: 28;CpG: 91;CpG: 58;CpG: 63
ENSG00000117620_ENSG00000228084	1	100434858	100435718	SLC35A3_RP5-884G6.2	protein_coding&antisense	5UTR_5UTR	77	1	CpG: 70
ENSG00000238940_ENSG00000111670	12	102139272	102224716	snoU13_GNPTAB	snoRNA&protein_coding	INTRONIC	102	1	CpG: 38
ENSG00000263477_ENSG00000141298	17	27952953	28257294	RP11-338L22.2_SSH2	antisense&protein_coding	INTRONIC	2692	2	CpG: 62;CpG: 60
ENSG00000260527_ENSG00000172673	6	126112108	130461627	RP11-73O6.4_THEMIS	protein_coding&protein_coding	INTRONIC	210561	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000248381_ENSG00000225302	10	118609074	118609242	RP11-539I5.2_RP11-539I5.1	processed_transcript&antisense	5UTR_5UTR	120	1	CpG: 65
ENSG00000219545_ENSG00000234141	7	7680406	8043689	AC006465.3_AC009473.1	protein_coding&antisense	INTRONIC	858	2	CpG: 69;CpG: 116
ENSG00000232866_ENSG00000236816	9	44120108	44120522	BX649563.2_ANKRD20A7P	protein_coding&snRNA	divergent	1665	1	CpG: 143
ENSG00000109674_ENSG00000249084	4	178230987	178284097	NEIL3_RP11-376O6.2	protein_coding&antisense	INTRONIC	14030	1	CpG: 42
ENSG00000110108_ENSG00000256196	11	60681343	60692869	TMEM109_RP11-881M11.4	protein_coding&antisense	INTRONIC	4976	2	CpG: 69;CpG: 79
ENSG00000246582_ENSG00000104689	8	23082731	23088439	RP11-1149O23.3_TNFRSF10A	protein_coding&snRNA	divergent	93	1	CpG: 82
ENSG00000229315_ENSG00000152034	6	100441809	100442099	RP11-14I4.3_MCHR2	lincRNA&protein_coding	5UTR_5UTR	150	1	CpG: 67
ENSG00000184160_ENSG00000250986	4	3768072	3770251	ADRA2C_AC141928.1	protein_coding&snRNA	divergent	2956	1	CpG: 249
ENSG00000138823_ENSG00000145331	4	100484915	100485174	MTTP_TRMT10A	protein_coding&protein_coding	5UTR_5UTR	20	1	CpG: 40
ENSG00000230148_ENSG00000120094	17	46622868	46628610	HOXB-AS1_HOXB1	protein_coding&snRNA	divergent	14510	3	CpG: 41;CpG: 19;CpG: 84
ENSG00000260527_ENSG00000152894	6	126112108	130461627	RP11-73O6.4_PTPRK	protein_coding&protein_coding	INTRONIC	551948	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000101654_ENSG00000242707	18	13726656	13764557	RNMT_Metazoa_SRP	protein_coding&snRNA	divergent	11290	1	CpG: 129
ENSG00000132549_ENSG00000237704	8	100025491	100889808	VPS13B_AP004289.2	protein_coding&processed_pseudogene	INTRONIC	1458	1	CpG: 63
ENSG00000156875_ENSG00000241073	1	100503650	100550027	HIAT1_RP4-714D9.2	protein_coding&processed_transcript	INTRONIC	25389	1	CpG: 106
ENSG00000198939_ENSG00000213328	5	178322892	178360213	ZFP2_RP11-281O15.2	protein_coding&processed_pseudogene	INTRONIC	901	1	CpG: 78
ENSG00000260527_ENSG00000202200	6	126112108	130461627	RP11-73O6.4_Y_RNA	protein_coding&misc_RNA	INTRONIC	93	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000212378_ENSG00000144036	2	72403110	73053170	SNORD78_EXOC6B	snoRNA&protein_coding	INTRONIC	70	1	CpG: 63
ENSG00000260527_ENSG00000220884	6	126112108	130461627	RP11-73O6.4_MESTP1	protein_coding&processed_pseudogene	INTRONIC	995	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000202217_ENSG00000119121	9	77337408	77503010	7SK_TRPM6	misc_RNA&protein_coding	INTRONIC	329	1	CpG: 48
ENSG00000260527_ENSG00000219642	6	126112108	130461627	RP11-73O6.4_BMPR1APS1	protein_coding&processed_pseudogene	INTRONIC	1599	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000165185_ENSG00000251540	9	115249124	115431677	KIAA1958_RP11-32M23.4	protein_coding&snRNA	divergent	2219	1	CpG: 106
ENSG00000260527_ENSG00000252554	6	126112108	130461627	RP11-73O6.4_U6	protein_coding&snRNA	INTRONIC	107	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000102974_ENSG00000259804	16	67596307	67673086	CTCF_CTD-2012K14.7	protein_coding&snRNA	divergent	96	1	CpG: 175
ENSG00000235940_ENSG00000078114	10	21068899	21463116	MTND1P21_NEBL	processed_pseudogene&protein_coding	INTRONIC	286	1	CpG: 176
ENSG00000148356_ENSG00000197958	9	130213762	130265780	LRSAM1_RPL12	protein_coding&snRNA	divergent	79	1	CpG: 98
ENSG00000182247_ENSG00000233153	3	23244508	23633284	UBE2E2_AC135966.1	protein_coding&snRNA	divergent	440	1	CpG: 85
ENSG00000229841_ENSG00000092978	1	217600331	217804424	RP11-361K17.2_GPATCH2	antisense&protein_coding	INTRONIC	2310	1	CpG: 21
ENSG00000260527_ENSG00000226149	6	126112108	130461627	RP11-73O6.4_RP1-69D17.4	protein_coding&lincRNA	INTRONIC	25963	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000260527_ENSG00000233351	6	126112108	130461627	RP11-73O6.4_RP1-69D17.3	protein_coding&antisense	INTRONIC	1797	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000116191_ENSG00000116194	1	178694297	178889238	RALGPS2_ANGPTL1	protein_coding&protein_coding	INTRONIC	21349	1	CpG: 114
ENSG00000261578_ENSG00000255100	11	76511405	76515599	RP11-21L23.2_RP11-21L23.3	protein_coding&snRNA	divergent	17300	2	CpG: 121;CpG: 35
ENSG00000260527_ENSG00000146376	6	126112108	130461627	RP11-73O6.4_ARHGAP18	protein_coding&protein_coding	INTRONIC	134095	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000263724_ENSG00000207278	18	3878177	3897069	DLGAP1-AS3_U6	antisense&snRNA	INTRONIC	108	1	CpG: 73
ENSG00000169760_ENSG00000228213	3	173114071	174004434	NLGN1_NLGN1-AS1	protein_coding&antisense	INTRONIC	10300	1	CpG: 49
ENSG00000116191_ENSG00000228196	1	178694297	178889238	RALGPS2_PTPN2P1	protein_coding&processed_pseudogene	INTRONIC	1073	1	CpG: 114
ENSG00000155313_ENSG00000234159	21	17102341	17252377	USP25_RBPMSLP	protein_coding&processed_pseudogene	INTRONIC	1078	1	CpG: 123
ENSG00000260527_ENSG00000219666	6	126112108	130461627	RP11-73O6.4_RP11-174C7.1	protein_coding&processed_pseudogene	INTRONIC	278	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000255193_ENSG00000254861	11	23752131	23826144	RP11-945A11.1_RP11-945A11.2	lincRNA&lincRNA	INTRONIC	35642	1	CpG: 34
ENSG00000223247_ENSG00000252651	3	73160140	73160333	U2_U6	protein_coding&snRNA	divergent	18733	1	CpG: 21
ENSG00000121879_ENSG00000201957	3	178865899	178957881	PIK3CA_SNORA25	protein_coding&snoRNA	INTRONIC	129	1	CpG: 79
ENSG00000206788_ENSG00000128655	2	178492794	178973066	U6_PDE11A	snRNA&protein_coding	INTRONIC	104	1	CpG: 23
ENSG00000180068_ENSG00000262670	17	3182066	3289633	OR3A4P_RP11-64J4.2	transcribed_unprocessed_pseudogene&sense_overlapping	INTRONIC	1640	1	CpG: 75
ENSG00000260527_ENSG00000203756	6	126112108	130461627	RP11-73O6.4_TMEM244	protein_coding&protein_coding	INTRONIC	30305	16	CpG: 124;CpG: 131;CpG: 27;CpG: 20;CpG: 152;CpG: 27;CpG: 37;CpG: 31;CpG: 109;CpG: 29;CpG: 91;CpG: 64;CpG: 39;CpG: 163;CpG: 77;CpG: 99
ENSG00000167094_ENSG00000248666	9	130478342	130493879	TTC16_RP11-56D16.2	protein_coding&snRNA	divergent	417	1	CpG: 90
ENSG00000251247_ENSG00000197863	19	37308327	37403931	ZNF345_ZNF790	protein_coding&protein_coding	INTRONIC	428	3	CpG: 26;CpG: 49;CpG: 21
ENSG00000116199_ENSG00000232750	1	178994936	179045697	FAM20B_RP11-177A2.5	protein_coding&processed_pseudogene	INTRONIC	346	1	CpG: 110
ENSG00000139865_ENSG00000259048	14	38065049	38663486	TTC6_CTD-2058B24.2	protein_coding&antisense	INTRONIC	7157	4	CpG: 48;CpG: 143;CpG: 77;CpG: 123
ENSG00000197312_ENSG00000236500	1	15943992	15995539	DDI2_RP4-680D5.4	protein_coding&snRNA	divergent	2631	1	CpG: 57
ENSG00000175877_ENSG00000165171	7	73275486	73280223	WBSCR28_WBSCR27	protein_coding&snRNA	divergent	18622	2	CpG: 22;CpG: 27
ENSG00000258512_ENSG00000258404	14	102100788	102198859	RP11-796G6.2_RP11-1029J19.5	protein_coding&lincRNA	INTRONIC	673	2	CpG: 41;CpG: 75
ENSG00000100228_ENSG00000100218	22	23487510	23506537	RAB36_RTDR1	protein_coding&snRNA	divergent	303	1	CpG: 57
ENSG00000188277_ENSG00000137824	15	41062156	41064647	C15orf62_FAM82A2	protein_coding&snRNA	divergent	14108	1	CpG: 109
ENSG00000187079_ENSG00000254688	11	12695966	12966298	TEAD1_RP11-47J17.3	protein_coding&antisense	INTRONIC	1234	1	CpG: 145
ENSG00000229744_ENSG00000128655	2	178492794	178973066	AC011998.2_PDE11A	processed_pseudogene&protein_coding	INTRONIC	474	1	CpG: 23
ENSG00000253608_ENSG00000253702	8	49464124	49611069	RP11-770E5.1_RP11-567J20.1	antisense&lincRNA	INTRONIC	23562	1	CpG: 35
ENSG00000227241_ENSG00000128655	2	178492794	178973066	AC011998.4_PDE11A	processed_pseudogene&protein_coding	INTRONIC	118	1	CpG: 23
ENSG00000261628_ENSG00000260382	15	31191680	31192530	RP11-540B6.3_RP11-540B6.2	protein_coding&snRNA	divergent	16247	1	CpG: 18
ENSG00000225725_ENSG00000225327	8	7812593	7848219	FAM66E_USP17L3	processed_transcript&unprocessed_pseudogene	INTRONIC	1594	1	CpG: 43
ENSG00000231905_ENSG00000143322	1	179068459	179198819	SETP10_ABL2	processed_pseudogene&protein_coding	INTRONIC	815	1	CpG: 86
ENSG00000177599_ENSG00000267646	19	11906896	11909542	ZNF491_CTC-499B15.7	protein_coding&antisense	SINGLE_EXON_EXON	12	1	CpG: 43
ENSG00000255036_ENSG00000159712	9	100000776	100139569	RP11-23J9.4_ANKRD18CP	protein_coding&snRNA	divergent	17239	2	CpG: 144;CpG: 35
ENSG00000201619_ENSG00000143322	1	179068459	179198819	SNORA67_ABL2	snoRNA&protein_coding	INTRONIC	142	1	CpG: 86
ENSG00000049246_ENSG00000236266	1	7887161	7887875	PER3_RP3-467L1.4	protein_coding&antisense	EXON_5UTR	226	1	CpG: 25
ENSG00000212338_ENSG00000143322	1	179068459	179198819	SNORA67_ABL2	snoRNA&protein_coding	INTRONIC	108	1	CpG: 86
ENSG00000135624_ENSG00000135617	2	73461361	73480149	CCT7_PRADC1	protein_coding&snRNA	divergent	996	1	CpG: 144
ENSG00000089101_ENSG00000225417	20	20033155	20341346	C20orf26_RP5-1178H5.2	protein_coding&antisense	INTRONIC	965	1	CpG: 63
ENSG00000115661_ENSG00000198925	2	220110174	220115059	STK16_ATG9A	protein_coding&snRNA	divergent	15736	3	CpG: 60;CpG: 40;CpG: 40
ENSG00000213366_ENSG00000260246	1	110210641	110252171	GSTM2_AC000032.2	protein_coding&antisense	INTRONIC	627	2	CpG: 27;CpG: 32
ENSG00000121152_ENSG00000230747	2	97001522	97039583	NCAPH_AC021188.4	protein_coding&snRNA	divergent	14054	3	CpG: 82;CpG: 43;CpG: 55
ENSG00000248735_ENSG00000250241	4	133996463	134070268	R3HDM2P1_RP11-9G1.3	processed_pseudogene&processed_transcript	INTRONIC	1105	1	CpG: 90
ENSG00000128829_ENSG00000259389	15	40226344	40327797	EIF2AK4_RP11-325N19.2	protein_coding&processed_pseudogene	INTRONIC	269	2	CpG: 57;CpG: 46
ENSG00000241720_ENSG00000198758	1	110230447	110318050	RP4-735C1.4_EPS8L3	processed_transcript&protein_coding	INTRONIC	13949	2	CpG: 32;CpG: 93
ENSG00000014123_ENSG00000233797	6	96969681	97003152	UFL1_UFL1-AS1	protein_coding&snRNA	divergent	137	1	CpG: 61
ENSG00000145833_ENSG00000241179	5	134094468	134190823	DDX46_CTB-2L9.1	protein_coding&processed_pseudogene	INTRONIC	356	2	CpG: 90;CpG: 66
ENSG00000266974_ENSG00000105258	19	36605261	36606048	AD001527.4_POLR2I	antisense&protein_coding	SINGLE_EXON_EXON	56	1	CpG: 194
ENSG00000237916_ENSG00000186522	2	110300556	110371783	RP11-537E18.1_SEPT10	processed_pseudogene&protein_coding	INTRONIC	312	1	CpG: 240
ENSG00000093217_ENSG00000230123	3	38388248	38462839	XYLB_RP11-213K17.1	protein_coding&snRNA	divergent	17688	1	CpG: 69
ENSG00000252688_ENSG00000176771	2	133429371	134326034	U6_NCKAP5	snRNA&protein_coding	INTRONIC	103	1	CpG: 52
ENSG00000229869_ENSG00000107929	10	978963	988683	RP11-363N22.2_LARP4B	protein_coding&snRNA	divergent	1400	1	CpG: 91
ENSG00000049323_ENSG00000223951	2	33172036	33624576	LTBP1_AL133244.1	protein_coding&processed_pseudogene	INTRONIC	6782	1	CpG: 155
ENSG00000196843_ENSG00000235480	2	97202483	97218375	ARID5A_RP11-363D14.1	protein_coding&snRNA	divergent	4441	1	CpG: 146
ENSG00000047315_ENSG00000084092	4	57842605	57845170	POLR2B_NOA1	protein_coding&protein_coding	EXON_5UTR	185	2	CpG: 109;CpG: 32
ENSG00000132570_ENSG00000248923	5	134240593	134343649	PCBD2_MTND5P11	protein_coding&processed_pseudogene	INTRONIC	1813	1	CpG: 128
ENSG00000198431_ENSG00000257732	12	104609554	104744061	TXNRD1_RP11-818F20.5	protein_coding&antisense	INTRONIC	18410	5	CpG: 42;CpG: 35;CpG: 56;CpG: 80;CpG: 29
ENSG00000186231_ENSG00000263479	6	97372602	97588630	KLHL32_Metazoa_SRP	protein_coding&snRNA	divergent	9732	1	CpG: 40
ENSG00000230055_ENSG00000263975	17	36886485	36891297	CISD3_CTB-58E17.9	protein_coding&snRNA	divergent	9961	1	CpG: 58
ENSG00000232973_ENSG00000229160	2	38302788	38408997	CYP1B1-AS1_AC009229.6	antisense&lincRNA	INTRONIC	6311	1	CpG: 300
ENSG00000242622_ENSG00000082701	3	119813739	119855630	RP11-18H7.1_GSK3B	protein_coding&snRNA	divergent	476	1	CpG: 166
ENSG00000169592_ENSG00000149929	16	30006612	30007712	INO80E_HIRIP3	protein_coding&protein_coding	5UTR_5UTR	104	1	CpG: 118
ENSG00000230869_ENSG00000172671	10	46174137	46195980	CTGLF10P_ZFAND4	protein_coding&snRNA	divergent	5910	1	CpG: 104
ENSG00000132570_ENSG00000198868	5	134240593	134343649	PCBD2_MIR4461	protein_coding&processed_pseudogene	INTRONIC	298	1	CpG: 128
ENSG00000227205_ENSG00000215864	1	120395936	120396365	PFN1P9_NBPF7	protein_coding&snRNA	divergent	8158	1	CpG: 21
ENSG00000089101_ENSG00000101343	20	20032933	20033376	C20orf26_CRNKL1	protein_coding&protein_coding	5UTR_EXON	145	1	CpG: 63
ENSG00000132570_ENSG00000244921	5	134240593	134343649	PCBD2_CTB-36O1.7	protein_coding&processed_pseudogene	INTRONIC	748	1	CpG: 128
ENSG00000197114_ENSG00000101246	20	62338348	62339010	ZGPAT_ARFRP1	protein_coding&protein_coding	5UTR_5UTR	119	1	CpG: 162
ENSG00000182923_ENSG00000249691	3	134204582	134293855	CEP63_RP11-445J14.1	protein_coding&processed_pseudogene	INTRONIC	884	1	CpG: 88
ENSG00000186001_ENSG00000234742	3	197518103	197615307	LRCH3_AC144530.1	protein_coding&processed_pseudogene	INTRONIC	556	1	CpG: 81
ENSG00000212101_ENSG00000091844	6	153331854	153452384	AL080276.1_RGS17	miRNA&protein_coding	INTRONIC	84	1	CpG: 152
ENSG00000037749_ENSG00000055147	5	153418414	153418571	MFAP3_FAM114A2	protein_coding&protein_coding	5UTR_5UTR	6	1	CpG: 50
ENSG00000259519_ENSG00000259932	15	45462539	45492156	RP11-519G16.2_CTD-2651B20.7	antisense&sense_intronic	INTRONIC	624	3	CpG: 80;CpG: 17;CpG: 21
ENSG00000152932_ENSG00000248475	5	57878864	58155213	RAB3C_RP11-479O16.1	protein_coding&antisense	INTRONIC	75520	1	CpG: 37
ENSG00000267128_ENSG00000182473	17	74136634	74150731	RNF157-AS1_EXOC7	protein_coding&snRNA	divergent	18978	3	CpG: 76;CpG: 39;CpG: 152
ENSG00000037749_ENSG00000251710	5	153418463	153600038	MFAP3_AC010295.1	protein_coding&miRNA	INTRONIC	77	2	CpG: 50;CpG: 85
ENSG00000111325_ENSG00000150967	12	123463297	123466196	OGFOD2_ABCB9	protein_coding&protein_coding	EXON_5UTR	114	1	CpG: 133
ENSG00000261925_ENSG00000169900	16	31237278	31238481	RP11-388M20.9_PYDC1	protein_coding&snRNA	divergent	8599	1	CpG: 66
ENSG00000155368_ENSG00000186132	2	120124494	120130126	DBI_C2orf76	protein_coding&snRNA	divergent	91	1	CpG: 85
ENSG00000048545_ENSG00000188112	6	42123141	42147794	GUCA1A_C6orf132	protein_coding&snRNA	divergent	12785	1	CpG: 43
ENSG00000231812_ENSG00000070669	7	97515177	97515386	AC005326.2_ASNS	protein_coding&snRNA	divergent	13324	1	CpG: 74
ENSG00000232973_ENSG00000138061	2	38302788	38303296	CYP1B1-AS1_CYP1B1	antisense&protein_coding	5UTR_5UTR	289	1	CpG: 300
ENSG00000207811_ENSG00000137707	11	111383660	111383746	MIR34B_BTG4	protein_coding&snRNA	divergent	582	1	CpG: 79
ENSG00000198822_ENSG00000231255	7	86273227	86494200	GRM3_AC005009.1	protein_coding&antisense	INTRONIC	943	1	CpG: 45
ENSG00000255495_ENSG00000205879	8	12051973	12053789	AC145124.2_FAM90A2P	protein_coding&snRNA	divergent	15890	1	CpG: 116
ENSG00000132549_ENSG00000207804	8	100025491	100889808	VPS13B_MIR599	protein_coding&miRNA	INTRONIC	96	1	CpG: 63
ENSG00000164574_ENSG00000245275	5	153570287	153825410	GALNT10_CTB-157D17.1	protein_coding&processed_transcript	INTRONIC	91549	2	CpG: 33;CpG: 85
ENSG00000130226_ENSG00000203335	7	153584179	154685995	DPP6_AC006019.3	protein_coding&antisense	INTRONIC	36941	6	CpG: 19;CpG: 32;CpG: 165;CpG: 212;CpG: 22;CpG: 59
ENSG00000259532_ENSG00000137831	15	70946890	71055932	RP11-138H8.2_UACA	lincRNA&protein_coding	INTRONIC	5247	1	CpG: 121
ENSG00000233953_ENSG00000119866	2	60678299	60780702	AC009970.1_BCL11A	antisense&protein_coding	INTRONIC	4280	4	CpG: 105;CpG: 31;CpG: 115;CpG: 38
ENSG00000197106_ENSG00000235526	1	110693105	110744824	SLC6A17_RP5-1028L10.2	protein_coding&antisense	INTRONIC	1078	1	CpG: 140
ENSG00000256824_ENSG00000133315	11	63766027	63933533	RP11-21A7A.2_MACROD1	processed_transcript&protein_coding	INTRONIC	67685	8	CpG: 17;CpG: 121;CpG: 219;CpG: 28;CpG: 89;CpG: 20;CpG: 86;CpG: 17
ENSG00000163516_ENSG00000198925	2	220094476	220101391	ANKZF1_ATG9A	protein_coding&snRNA	divergent	38	1	CpG: 60
ENSG00000230701_ENSG00000240160	22	23605320	23606541	FBXW4P1_Metazoa_SRP	protein_coding&snRNA	divergent	1063	1	CpG: 29
ENSG00000182899_ENSG00000114473	3	197615943	197687013	RPL35A_IQCG	protein_coding&protein_coding	INTRONIC	6625	1	CpG: 46
ENSG00000176136_ENSG00000211528	18	13824151	13826861	MC5R_AP001525.1	protein_coding&snRNA	divergent	167	1	CpG: 28
ENSG00000168438_ENSG00000053328	6	110501341	110679475	CDC40_METTL24	protein_coding&protein_coding	INTRONIC	8349	3	CpG: 45;CpG: 18;CpG: 25
ENSG00000152495_ENSG00000249318	5	110559348	110830584	CAMK4_AC010468.2	protein_coding&antisense	INTRONIC	4282	1	CpG: 95
ENSG00000189157_ENSG00000138760	4	77135190	77232282	FAM47E_SCARB2	protein_coding&snRNA	divergent	145	1	CpG: 100
ENSG00000250384_ENSG00000163453	4	57896936	57976551	UBE2CP3_IGFBP7	processed_pseudogene&protein_coding	INTRONIC	451	1	CpG: 121
ENSG00000250950_ENSG00000248280	4	120377502	120378432	RP11-33B1.3_RP11-33B1.2	protein_coding&snRNA	divergent	6191	1	CpG: 75
ENSG00000254806_ENSG00000124251	20	43992139	44039250	SYS1-DBNDD2_TP53TG5	nonsense_mediated_decay&protein_coding	INTRONIC	34005	2	CpG: 63;CpG: 129
ENSG00000258686_ENSG00000156150	1	110583790	110617263	RP4-773N10.5_ALX3	processed_transcript&protein_coding	INTRONIC	10620	1	CpG: 264
ENSG00000243384_ENSG00000168309	3	58549841	58613337	RP11-475O23.2_FAM107A	antisense&protein_coding	INTRONIC	1577	1	CpG: 48
ENSG00000224186_ENSG00000248482	5	134368967	134691744	CTC-203F4.1_CTC-276P9.3	protein_coding&lincRNA	INTRONIC	6871	5	CpG: 186;CpG: 45;CpG: 31;CpG: 175;CpG: 43
ENSG00000212510_ENSG00000129675	X	135747703	135864247	U6_ARHGEF6	snRNA&protein_coding	INTRONIC	108	1	CpG: 104
ENSG00000154928_ENSG00000201413	3	134334204	134979309	EPHB1_RNA5SP141	protein_coding&rRNA	INTRONIC	121	2	CpG: 79;CpG: 172
ENSG00000260921_ENSG00000261259	16	32963311	33039358	RP11-989E6.8_RP11-19N8.2	lincRNA&processed_transcript	INTRONIC	1235	1	CpG: 182
ENSG00000068383_ENSG00000234531	10	134595538	134596979	INPP5A_RP11-288G11.3	protein_coding&3prime_overlapping_ncrna	3UTR_3UTR	272	1	CpG: 30
ENSG00000255825_ENSG00000171840	12	673459	772945	RP5-1154L15.1_NINJ2	antisense&protein_coding	INTRONIC	638	4	CpG: 35;CpG: 25;CpG: 47;CpG: 61
ENSG00000265908_ENSG00000109118	17	27232265	27278789	RP11-20B24.6_PHF12	antisense&protein_coding	INTRONIC	600	1	CpG: 205
ENSG00000224186_ENSG00000249082	5	134368967	134691744	CTC-203F4.1_CTC-276P9.1	protein_coding&lincRNA	INTRONIC	1211	5	CpG: 186;CpG: 45;CpG: 31;CpG: 175;CpG: 43
ENSG00000264364_ENSG00000266290	17	56168906	56172897	RP11-159D12.9_RP11-159D12.10	protein_coding&snRNA	divergent	8342	1	CpG: 89
ENSG00000023171_ENSG00000254449	11	123396341	123498482	GRAMD1B_SF3A3P2	protein_coding&processed_pseudogene	INTRONIC	1508	1	CpG: 27
ENSG00000140992_ENSG00000260436	16	2587962	2653189	PDPK1_RP11-20I23.7	protein_coding&antisense	INTRONIC	785	5	CpG: 46;CpG: 35;CpG: 17;CpG: 21;CpG: 24
ENSG00000135940_ENSG00000228970	2	98262500	98264846	COX5B_UBTFL6	protein_coding&snRNA	divergent	8235	1	CpG: 48
ENSG00000101333_ENSG00000252819	20	9049407	9461889	PLCB4_AL121898.1	protein_coding&snRNA	divergent	1853	1	CpG: 102
ENSG00000223345_ENSG00000227193	1	120906025	120915073	HIST2H2BA_RP11-439A17.4	protein_coding&snRNA	divergent	867	1	CpG: 40
ENSG00000075407_ENSG00000235964	10	38383261	38412276	ZNF37A_FXYD6P2	protein_coding&snRNA	divergent	2283	1	CpG: 63
ENSG00000153291_ENSG00000146233	6	46620675	46649356	SLC25A27_CYP39A1	protein_coding&snRNA	divergent	153	1	CpG: 69
ENSG00000242421_ENSG00000144199	2	97766318	97766609	Metazoa_SRP_FAHD2B	protein_coding&snRNA	divergent	5700	1	CpG: 50
ENSG00000222363_ENSG00000264808	17	27696732	27717795	U4_MIR4523	snRNA&antisense	INTRONIC	125	1	CpG: 74
ENSG00000099338_ENSG00000266963	19	38852791	38853124	CATSPERG_AC005625.1	protein_coding&antisense	EXON_5UTR	64	1	CpG: 103
ENSG00000206595_ENSG00000085832	1	51819932	51985000	U6_EPS15	snRNA&protein_coding	INTRONIC	108	1	CpG: 59
ENSG00000135976_ENSG00000144199	2	97779230	97930258	ANKRD36_FAHD2B	protein_coding&snRNA	divergent	18612	2	CpG: 50;CpG: 105
ENSG00000256212_ENSG00000175894	21	45917772	46131495	AL773602.1_TSPEAR	pseudogene&protein_coding	INTRONIC	1129	3	CpG: 17;CpG: 19;CpG: 30
ENSG00000160679_ENSG00000189171	1	153606431	153606819	CHTOP_S100A13	protein_coding&protein_coding	5UTR_5UTR	2	1	CpG: 68
ENSG00000139865_ENSG00000201431	14	38065049	38510647	TTC6_U6	protein_coding&snRNA	INTRONIC	108	4	CpG: 48;CpG: 143;CpG: 77;CpG: 123
ENSG00000238420_ENSG00000025796	6	108188957	108279393	U6_SEC63	snRNA&protein_coding	INTRONIC	96	1	CpG: 86
ENSG00000240074_ENSG00000141298	17	27952953	28257294	RPL9P30_SSH2	processed_pseudogene&protein_coding	INTRONIC	575	2	CpG: 62;CpG: 60
